State,City,Violent_Crime_Rate,Latitude,Longitude
California,Pismo Beach,0.35,35.347065,-120.455345
California,Paso Robles,0.16,35.640598,-120.700313
California,Patterson,0.2,37.4716,-121.12966000000002
California,Perris,0.33,33.787292,-117.320674
California,Piedmont,0.12,37.680181,-121.921498
California,Pico Rivera,0.37,33.985812,-118.08878700000001
California,Pinole,0.3,38.00437,-122.29886
California,Pittsburg,0.61,38.00307,-121.91721899999999
California,Pasadena,0.43,33.786594,-118.29866200000001
California,Petaluma,0.3,38.265366,-122.82258799999998
California,Parlier,0.4,36.61162,-119.52707
California,Pacifica,0.2,37.616774,-122.480015
California,Paradise,0.08,39.723898,-121.57298600000001
California,Palos Verdes Estates,0.03,33.800571000000005,-118.390074
California,Palo Alto,0.13,37.444122,-122.149915
California,Palm Springs,0.55,33.842566999999995,-116.527996
California,Palm Desert,0.25,33.76437,-116.339766
California,Palmdale,0.42,34.408383,-118.123597
California,Pacific Grove,0.09,36.617740000000005,-121.91662
California,Oxnard,0.34,34.205247,-119.17409199999999
California,Oroville,0.63,39.578352,-121.58211999999999
California,Placentia,0.37,33.881158,-117.85478300000001
California,Orland,0.43,39.74738,-122.19637
California,Paramount,0.64,33.899015000000006,-118.165152
California,Placerville,0.35,38.730224,-120.797149
California,Rolling Hills,0.05,33.756962,-118.35396100000001
California,Pleasanton,0.13,37.646081,-121.862128
California,Orinda,0.08,37.87715,-122.17969
California,Rohnert Park,0.61,38.463088,-122.989975
California,Rocklin,0.1,38.801233,-121.230374
California,Riverside,0.51,33.99504,-117.37318400000001
California,Riverbank,0.1,37.729282,-120.94290500000001
California,Ripon,0.08,37.765177,-121.11541100000001
California,Rio Vista,0.12,38.209069,-121.777874
California,Rio Dell,0.32,40.472423,-124.12183999999999
California,Ridgecrest,0.49,35.606509,-117.683472
California,Richmond,0.93,37.947523,-122.384032
California,Rialto,0.57,34.111606,-117.37740600000001
California,Reedley,0.45,36.669807,-119.398857
California,Redwood City,0.22,37.381144,-122.334825
California,Redondo Beach,0.24,33.830006,-118.387124
California,Redlands,0.36,34.011935,-117.159696
California,Red Bluff,0.93,40.142907,-122.34088799999999
California,Rancho Santa Margarita,0.06,33.619671999999994,-117.61208700000002
California,Rancho Palos Verdes,0.07,33.753146,-118.36745900000001
California,Rancho Mirage,0.24,33.739740000000005,-116.41278999999999
California,Rancho Cucamonga,0.28,34.839964,-115.967051
California,Rancho Cordova,0.3,38.604269,-121.280328
California,Poway,0.1,32.994097,-117.030299
California,Port Hueneme,0.19,34.106896,-119.099535
California,Porterville,0.32,35.973777,-118.70359199999999
California,Pomona,0.62,34.042286,-117.756106
California,Pleasant Hill,0.25,37.957572,-122.077774
California,Orange Cove,0.19,36.624390000000005,-119.31373
California,Maywood,0.33,33.988463,-118.187376
California,Ontario,0.36,34.05936,-117.6203
California,Modesto,0.81,37.669463,-121.016796
California,Mission Viejo,0.07,33.640302,-117.769442
California,Milpitas,0.12,37.436454,-121.861989
California,Mill Valley,0.14,37.886325,-122.562937
California,Merced,0.64,37.345785,-120.42415
California,Menlo Park,0.14,37.439616,-122.186373
California,Menifee,0.15,33.658592,-117.17361799999999
California,Mendota,0.73,36.75356,-120.38156000000001
California,McFarland,0.43,35.67801,-119.22927
California,Rolling Hills Estates,0.12,33.787794,-118.35812800000001
California,Marysville,0.92,39.14573,-121.59135
California,Martinez,0.21,37.986421,-122.134976
California,Marina,0.19,36.6844,-121.80216999999999
California,Manteca,0.24,37.807297,-121.177601
California,Manhattan Beach,0.15,33.889151,-118.40212700000001
California,Mammoth Lakes,0.52,37.609434,-118.86563600000001
California,Malibu,0.34,34.039034,-118.70799199999999
California,Madera,0.5,36.928286,-120.182423
California,Lynwood,0.64,33.924538,-118.202954
California,Los Gatos,0.05,37.222788,-121.983274
California,Los Banos,0.35,37.103768,-120.847479
California,Los Angeles,0.73,33.973951,-118.248405
California,Los Altos Hills,0.03,37.379663,-122.137464
California,Los Altos,0.07,37.357471999999994,-122.14441599999999
