State,City,Population,None,High School,Associates,Bachelors,Graduate,Total
Alabama,La Fayette,2945,525,858,412,113,84,1992
Alabama,Altoona,890,122,222,191,12,16,563
Alabama,Benton,47,0,6,23,3,11,43
Alabama,Mosses,1073,165,353,121,20,25,684
Alabama,Ohatchee,1293,101,356,306,114,47,924
Alabama,Saks,10763,1380,2544,2352,487,507,7270
Alabama,New Brockton,1127,163,269,244,83,18,777
Alabama,Madrid,301,43,77,78,15,2,215
Alabama,Oakman,691,117,145,114,36,10,422
Alabama,Toxey,118,21,36,13,12,0,82
Alabama,Sylvan Springs,1670,156,460,404,84,86,1190
Alabama,Helena,17861,440,1874,3645,4032,1952,11943
Alabama,Hoover,84480,2143,7677,14869,20516,12926,58131
Alabama,Midfield,5158,549,1396,1099,492,113,3649
Alabama,Vestavia Hills,34163,569,2175,4568,8676,7548,23536
Alabama,Andalusia,8864,870,1928,1858,829,485,5970
Alabama,Horn Hill,262,55,57,51,8,0,171
Alabama,Onycha,119,30,18,15,4,0,67
Alabama,Red Level,324,59,83,62,15,6,225
Alabama,Birmingham,212021,20165,41444,45946,23616,14262,145433
Alabama,Fort Deposit,1630,213,446,170,40,87,956
Alabama,Reece City,729,91,247,170,39,8,555
Alabama,Trafford,640,92,216,95,27,18,448
Alabama,Rock Creek,1369,38,473,338,102,63,1014
Alabama,Babbie,557,58,150,163,14,9,394
Alabama,Shorter,433,82,124,86,29,12,333
Alabama,Tuskegee,8699,836,1101,1408,683,466,4494
Alabama,Clayton,2900,878,818,399,58,29,2182
Alabama,Heath,339,32,51,67,30,16,196
Alabama,Opp,6520,864,1724,1346,345,185,4464
Alabama,Hayneville,1028,209,288,148,22,45,712
Alabama,Carrollton,1056,168,185,205,78,36,672
Alabama,Boaz,9553,1178,1650,2210,744,488,6270
Alabama,Rainbow City,9581,534,1950,2321,1195,829,6829
Alabama,Lowndesboro,99,5,11,46,8,8,78
Alabama,Alexandria,4000,320,870,1058,368,229,2845
Alabama,Brookside,1538,195,421,265,45,27,953
Alabama,Forestdale,9273,414,1884,2725,1179,491,6693
Alabama,Gardendale,13875,614,3046,3377,1722,1019,9778
Alabama,Grayson Valley,5986,369,1226,1901,612,211,4319
Alabama,Graysville,1965,284,635,449,114,27,1509
Alabama,Hueytown,15583,1245,3640,3721,1013,603,10222
Alabama,Berry,1400,237,379,200,76,9,901
Alabama,Belk,243,72,59,31,8,6,176
Alabama,Anniston,21924,2596,4891,4820,1570,1607,15484
Alabama,Atmore,9746,1827,3180,1179,460,256,6902
Alabama,Mignon,974,125,222,256,38,19,660
Alabama,Triana,686,81,121,160,122,40,524
Alabama,Meadowbrook,9387,132,545,2090,2365,1108,6240
Alabama,Dayton,26,0,0,7,2,5,14
Alabama,Demopolis,6918,736,1574,1298,643,436,4687
Alabama,Sweet Water,326,9,57,48,56,12,182
Alabama,Huguley,2273,348,726,477,136,28,1715
Alabama,Shiloh,321,50,74,64,29,5,222
Alabama,Ozark,14456,1566,3493,3481,1122,641,10303
Alabama,Goldville,33,4,8,7,2,4,25
Alabama,Waverly,154,1,31,40,26,27,125
Alabama,Valley,9305,785,2441,2019,651,173,6069
Alabama,Littleville,1104,116,371,198,34,15,734
Alabama,Bear Creek,1256,209,339,245,34,41,868
Alabama,Lexington,927,54,317,146,43,20,580
Alabama,Decatur,54617,6390,9908,12028,6554,2637,37517
Alabama,Lincoln,6600,747,1661,1559,675,239,4881
Alabama,Woodland,204,21,56,38,27,22,164
Alabama,Fairhope,20327,582,2045,3883,4720,2847,14077
Alabama,Hartselle,14405,881,2957,3530,1550,976,9894
Alabama,North Johns,188,19,68,44,2,4,137
Alabama,Powell,1089,304,232,201,27,12,776
Alabama,Camp Hill,1101,160,270,128,38,21,617
Alabama,Lineville,2471,331,544,501,105,93,1574
Alabama,Heflin,3449,519,805,679,225,110,2338
Alabama,Akron,295,55,82,67,5,1,210
Alabama,Moundville,2774,259,587,566,203,124,1739
Alabama,Guntersville,8377,1124,1376,1599,1187,707,5993
Alabama,Pollard,198,20,36,38,6,6,106
Alabama,Orange Beach,5927,246,980,1166,1600,627,4619
Alabama,Goshen,223,31,48,24,22,9,134
Alabama,Bay Minette,9089,963,2184,1791,593,297,5828
Alabama,Elberta,1741,166,472,426,172,53,1289
Alabama,Talladega,15609,2565,3690,2969,810,680,10714
Alabama,New Site,791,92,225,185,57,21,580
Alabama,Wedowee,772,113,216,119,58,38,544
Alabama,Loxley,2077,210,447,310,208,129,1304
Alabama,Sylvania,2413,309,519,445,145,64,1482
Alabama,St. Florian,406,34,121,76,73,23,327
Alabama,Somerville,534,109,135,119,31,33,427
Alabama,Oak Grove,605,114,163,129,21,15,442
Alabama,Vincent,2162,279,516,489,72,30,1386
Alabama,Geraldine,929,121,246,178,58,38,641
Alabama,Point Clear,2482,318,301,291,345,369,1624
Alabama,Mountain Brook,20466,64,383,1552,6113,5304,13416
Alabama,Brighton,2823,332,600,796,147,88,1963
Alabama,Allgood,674,203,137,95,7,10,452
Alabama,Rosa,400,52,93,89,20,19,273
Alabama,Brantley,828,81,244,106,99,39,569
Alabama,Deatsville,1350,39,207,356,158,74,834
Alabama,Frisco City,1459,234,379,214,18,47,892
Alabama,Courtland,771,128,200,130,24,31,513
Alabama,Aliceville,2408,551,562,347,140,62,1662
Alabama,Montgomery,200156,19289,33346,36751,24452,16871,130709
Alabama,Arley,566,76,146,113,32,39,406
Alabama,Bridgeport,2303,329,708,447,114,24,1622
Alabama,Pleasant Groves,416,56,171,45,18,8,298
Alabama,Fayette,4385,359,1132,880,449,159,2979
Alabama,Notasulga,953,88,295,223,59,56,721
Alabama,Baileyton,810,136,246,148,44,14,588
Alabama,West Point,593,66,132,133,52,15,398
Alabama,Oak Hill,22,14,0,2,5,1,22
Alabama,Midway,703,167,186,81,16,23,473
Alabama,Lakeview,154,15,46,27,6,0,94
Alabama,Dutton,411,36,104,59,16,21,236
Alabama,Addison,641,74,211,114,59,29,487
Alabama,Billingsley,121,22,26,22,4,0,74
Alabama,Winfield,4475,405,843,855,479,294,2876
Alabama,Meridianville,6609,292,1174,1609,1171,496,4742
Alabama,Redstone Arsenal,1414,11,73,291,182,136,693
Alabama,Ladonia,3444,281,960,795,167,134,2337
Alabama,York,3078,449,704,477,177,101,1908
Alabama,McKenzie,608,81,148,131,22,21,403
Alabama,Columbiana,4420,706,1400,587,311,238,3242
Alabama,Centreville,2677,199,1041,419,123,198,1980
Alabama,Luverne,2771,502,716,470,222,123,2033
Alabama,Rutledge,363,74,97,79,11,0,261
Alabama,Yellow Bluff,149,25,42,13,1,0,81
Alabama,West Blocton,1352,174,514,199,144,57,1088
Alabama,Gordo,1856,208,586,438,121,26,1379
Alabama,Brent,4840,1060,1392,834,133,86,3505
Alabama,Section,959,158,189,193,44,28,612
Alabama,Skyline,939,128,277,194,21,29,649
Alabama,South Vinemont,630,91,145,132,36,23,427
Alabama,Carolina,258,21,59,90,10,2,182
Alabama,River Falls,646,130,138,113,67,6,454
Alabama,Gu-Win,118,14,34,20,1,0,69
Alabama,Bon Air,87,12,33,11,0,5,61
Alabama,Waldo,261,35,79,58,20,5,197
Alabama,Newton,1722,170,434,445,94,59,1202
Alabama,Coffee Springs,195,23,62,61,8,4,158
Alabama,Linden,2041,266,743,371,111,96,1587
Alabama,Ethelsville,169,19,39,8,6,5,77
Alabama,Pine Apple,155,22,40,27,14,10,113
Alabama,Haleyville,3996,645,1080,751,207,75,2758
Alabama,County Line,274,36,89,44,20,0,189
Alabama,Nauvoo,160,28,45,30,9,0,112
Alabama,Holt,4159,663,1044,805,133,51,2696
Alabama,Northport,25457,1400,4243,4977,3659,2547,16826
Alabama,Hillsboro,618,91,193,101,28,12,425
Alabama,Highland Lake,360,26,82,75,51,39,273
