,Location,Never_Marrieds,Marrieds,Divorceds,Separateds,Widoweds
0,"La Fayette, Alabama",40.22,35.72,10.89,2.98,10.19
1,"Altoona, Alabama",28.67,40.0,18.18,7.27,5.87
2,"Benton, Alabama",0.0,86.05,0.0,0.0,13.95
3,"Mosses, Alabama",56.11,22.66,7.47,3.8,9.96
4,"Ohatchee, Alabama",15.75,68.01,11.72,0.19,4.32
5,"Saks, Alabama",22.49,47.02,16.7,3.89,9.89
6,"New Brockton, Alabama",27.71,44.25,19.44,0.97,7.63
7,"Madrid, Alabama",24.7,40.49,18.22,1.62,14.98
8,"Oakman, Alabama",31.65,25.72,21.76,6.65,14.21
9,"Toxey, Alabama",21.21,44.44,9.09,0.0,25.25
10,"Sylvan Springs, Alabama",17.65,60.91,12.36,0.89,8.19
11,"Helena, Alabama",25.81,60.36,10.56,0.56,2.72
12,"Hoover, Alabama",25.5,60.26,8.73,0.76,4.74
13,"Midfield, Alabama",40.95,34.26,12.13,6.27,6.39
14,"Vestavia Hills, Alabama",20.82,63.23,8.84,1.18,5.93
15,"Andalusia, Alabama",30.41,41.61,15.05,2.69,10.23
16,"Horn Hill, Alabama",16.75,66.03,10.53,0.0,6.7
17,"Onycha, Alabama",19.28,65.06,10.84,0.0,4.82
18,"Red Level, Alabama",28.46,44.62,11.92,5.38,9.62
19,"Birmingham, Alabama",46.41,28.14,14.64,3.82,6.99
20,"Fort Deposit, Alabama",41.84,34.81,10.79,8.95,3.6
21,"Reece City, Alabama",17.33,61.05,10.65,1.75,9.22
22,"Trafford, Alabama",19.25,52.83,18.68,1.51,7.74
23,"Rock Creek, Alabama",7.85,65.02,18.26,2.83,6.03
24,"Babbie, Alabama",21.72,53.98,13.98,0.86,9.46
25,"Shorter, Alabama",26.39,42.22,8.18,6.86,16.36
26,"Tuskegee, Alabama",63.59,17.75,9.57,3.3,5.79
27,"Clayton, Alabama",46.34,20.83,19.3,8.85,4.67
28,"Heath, Alabama",32.07,40.51,20.25,4.64,2.53
29,"Opp, Alabama",24.97,45.4,13.16,3.31,13.16
30,"Hayneville, Alabama",52.44,26.46,8.29,5.24,7.56
31,"Carrollton, Alabama",40.47,36.24,13.18,3.88,6.24
32,"Boaz, Alabama",26.02,50.13,12.7,1.44,9.72
33,"Rainbow City, Alabama",24.07,51.66,14.66,2.47,7.13
34,"Lowndesboro, Alabama",20.45,56.82,11.36,0.0,11.36
35,"Alexandria, Alabama",18.49,64.01,11.88,0.77,4.85
36,"Brookside, Alabama",24.68,50.46,11.32,2.5,11.04
37,"Forestdale, Alabama",33.35,40.84,15.83,4.04,5.94
