,Location,Blacks,Asians,NativeHawaiian_PacificIslanders,Whites,Hispanic_Latinos,AmericanIndian_AlaskanNatives,Two_or_Mores,Others
0,"Pismo Beach, California",2.49,2.02,0.0,81.46,8.26,0.2,2.9,2.66
1,"Patterson, California",5.99,3.73,1.56,20.26,55.03,1.64,5.06,6.74
2,"Perris, California",6.41,2.55,0.05,5.98,49.19,0.4,1.83,33.59
3,"Piedmont, California",1.87,16.85,0.06,71.35,3.55,0.18,6.06,0.08
4,"Pico Rivera, California",0.59,1.97,0.05,3.77,63.71,0.51,1.45,27.94
5,"Pinole, California",9.13,24.49,0.09,30.25,19.76,0.5,9.82,5.96
6,"Pittsburg, California",13.66,12.81,0.76,15.07,33.31,0.63,7.57,16.19
7,"Pasadena, California",8.19,14.4,0.18,29.68,29.21,0.23,3.88,14.23
8,"Petaluma, California",0.86,4.17,0.24,61.9,18.92,0.48,4.04,9.39
9,"Parlier, California",0.27,0.28,0.0,1.32,78.04,0.18,0.87,19.03
10,"Pacifica, California",1.76,19.09,1.39,49.39,17.6,0.21,7.47,3.08
11,"Paradise, California",0.0,1.58,0.0,62.63,16.84,9.47,8.95,0.53
12,"Paradise, California",0.3,1.04,0.01,83.75,7.02,1.12,5.28,1.48
13,"Palos Verdes Estates, California",0.25,20.77,0.07,64.65,9.47,0.01,4.32,0.46
14,"Palo Alto, California",1.54,32.2,0.19,54.54,5.65,0.3,4.54,1.05
15,"Palm Springs, California",3.55,4.58,0.24,57.68,26.42,0.75,2.9,3.89
16,"Palm Desert, California",2.36,4.73,0.16,59.99,23.72,0.35,4.06,4.63
17,"Palmdale, California",9.01,3.42,0.2,14.48,43.39,0.63,4.02,24.85
18,"Pacific Grove, California",1.41,5.03,0.0,77.56,9.99,0.32,4.43,1.26
19,"Oxnard, California",2.22,6.38,0.25,13.18,65.55,1.31,2.64,8.48
20,"Oroville, California",4.51,9.84,0.28,56.35,12.92,1.96,11.83,2.31
21,"Placentia, California",1.58,16.24,0.15,36.55,36.79,0.75,3.3,4.64
22,"Orland, California",0.02,1.77,0.0,37.73,48.78,1.87,1.02,8.81
23,"Paramount, California",7.63,2.15,0.62,3.62,60.52,0.27,2.18,23.01
24,"Placerville, California",0.72,0.59,0.0,75.4,18.49,0.62,1.41,2.78
25,"Rolling Hills, California",1.68,16.81,0.0,69.69,6.06,0.0,4.86,0.9
26,"Rolling Hills, California",2.08,4.06,0.83,60.35,22.06,0.0,3.85,6.76
27,"Pleasanton, California",1.92,31.88,0.49,49.89,9.04,0.31,4.81,1.67
28,"Orinda, California",1.27,15.32,0.16,71.27,5.42,0.13,6.13,0.29
29,"Rohnert Park, California",2.33,4.87,0.07,50.81,24.72,0.44,4.59,12.18
30,"Rocklin, California",2.01,9.1,0.12,67.45,12.55,0.53,5.51,2.73
31,"Riverside, California",5.06,6.02,0.21,24.7,43.43,0.67,3.94,15.97
32,"Riverbank, California",0.48,4.51,0.35,30.97,50.37,0.7,4.75,7.87
33,"Ripon, California",1.01,2.8,0.07,60.45,26.16,0.51,6.66,2.33
34,"Rio Vista, California",6.55,6.26,0.92,75.07,8.25,0.19,1.8,0.96
35,"Rio Dell, California",0.31,1.48,0.0,81.78,6.15,3.76,4.19,2.33
